Paises,Petroleo_Comprado
Belgium,26.8
Czech Republic,7.4
France,40.9
Germany,88.1
Italy,62.1
Netherlands,61.8
Poland,27.1
Portugal,11.9
Romania,9.6
Spain,63.1
Sweden,18.7
United Kingdom of Great Britain and Northern Ireland,15.3
Norway,-82
Turkey,33.2
Kazakhstan,-67.4
Russia,-254
Ukraine,0.7
Uzbekistan,1
Canada,-166.1
United States of America,144.9
Argentina,-4.7
Brazil,-54.6
Chile,7.5
Colombia,-25.6
Mexico,-49.7
China,506
India,232.6
Indonesia,20.9
Japan,139.7
Malaysia,5
"Korea, Republic of",141
Taiwan,42.1
Thailand,46.5
Australia,-4.9
New Zealand,0.2
Algeria,-21.9
Egypt,3.3
Nigeria,-55.2
South Africa,5.5
"Iran, Islamic Republic of",-49.7
Kuwait,-93.7
Saudi Arabia,-370.4
United Arab Emirates,-135.1
